,strategy,decks,penetration,seventeen,BJ_payout,-1_count_bet,-1_count_spot,0_count_bet,0_count_spot,1_count_bet,1_count_spot,2_count_bet,2_count_spot,3_count_bet,3_count_spot,4_count_bet,4_count_spot,5_count_bet,5_count_spot,6_count_bet,6_count_spot,probability_of_winning,expected_value,prob_of_winning_on_pos_count,expected_value_on_pos_count,fifth_percentile_loss
0,counter,2,0.5,S17,"[3, 2]",1,1,1,1,1,2,4,2,6,2,8,2,10,2,12,2,0.550823,0.13917099999999996,0.5842717926260956,0.31249746730370787,-1198.3999999981315
1,counter,2,0.5,S17,"[6, 5]",1,1,1,1,1,2,4,2,6,2,8,2,10,2,12,2,0.550823,0.13917099999999996,0.5842717926260956,0.31249746730370787,-1198.3999999981315
2,counter,2,0.5,H17,"[3, 2]",1,1,1,1,1,2,4,2,6,2,8,2,10,2,12,2,0.549536,0.1351862,0.5828357932413021,0.3055316867099576,-1214.4100000002647
3,counter,2,0.5,H17,"[6, 5]",1,1,1,1,1,2,4,2,6,2,8,2,10,2,12,2,0.549536,0.1351862,0.5828357932413021,0.3055316867099576,-1214.4100000002647
4,counter,2,1.0,S17,"[3, 2]",1,1,1,1,1,2,4,2,6,2,8,2,10,2,12,2,0.545372,0.053904800000000024,0.5808137374388346,0.1514605643721561,-1398.5999999998353
5,counter,2,1.0,S17,"[6, 5]",1,1,1,1,1,2,4,2,6,2,8,2,10,2,12,2,0.545372,0.053904800000000024,0.5808137374388346,0.1514605643721561,-1398.5999999998353
6,counter,2,1.0,H17,"[3, 2]",1,1,1,1,1,2,4,2,6,2,8,2,10,2,12,2,0.543895,0.04125920000000001,0.5787110612528954,0.12000197355437145,-2133.2099999987995
7,counter,2,1.0,H17,"[6, 5]",1,1,1,1,1,2,4,2,6,2,8,2,10,2,12,2,0.543895,0.04125920000000001,0.5787110612528954,0.12000197355437145,-2133.2099999987995
8,counter,2,1.5,S17,"[3, 2]",1,1,1,1,1,2,4,2,6,2,8,2,10,2,12,2,0.53657,0.013048799999999989,0.5779019798434543,0.07098446479425657,-969.0000000000537
9,counter,2,1.5,S17,"[6, 5]",1,1,1,1,1,2,4,2,6,2,8,2,10,2,12,2,0.53657,0.013048799999999989,0.5779019798434543,0.07098446479425657,-969.0000000000537
10,counter,2,1.5,H17,"[3, 2]",1,1,1,1,1,2,4,2,6,2,8,2,10,2,12,2,0.535372,0.010056999999999991,0.5764721397394774,0.06384930189819031,-1158.7999999988042
