,strategy,decks,penetration,seventeen,BJ_payout,-1_count_bet,-1_count_spot,0_count_bet,0_count_spot,1_count_bet,1_count_spot,2_count_bet,2_count_spot,3_count_bet,3_count_spot,4_count_bet,4_count_spot,5_count_bet,5_count_spot,6_count_bet,6_count_spot,probability_of_winning,expected_value,prob_of_winning_on_pos_count,expected_value_on_pos_count,fifth_percentile_loss
0,naive,2,0.5,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.479071,-0.093314,0.4926835457702482,-0.0690976694921098,-4935.800000006694
1,naive,2,0.5,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.479071,-0.093314,0.4926835457702482,-0.0690976694921098,-4935.800000006694
2,naive,2,0.5,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.479322,-0.0920718,0.4927346496861026,-0.06764108810393828,-4929.800000006392
3,naive,2,0.5,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.479322,-0.0920718,0.4927346496861026,-0.06764108810393828,-4929.800000006392
4,naive,2,1.0,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.479497,-0.0919138,0.4891508137275796,-0.07448611149720315,-4948.8000000065385
5,naive,2,1.0,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.479497,-0.0919138,0.4891508137275796,-0.07448611149720315,-4948.8000000065385
6,naive,2,1.0,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.479422,-0.0917326,0.4893392331658695,-0.07359433813698273,-4872.400000006386
7,naive,2,1.0,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.479422,-0.0917326,0.4893392331658695,-0.07359433813698273,-4872.400000006386
8,naive,2,1.5,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.479436,-0.09253359999999998,0.48673481888842,-0.07973991442404113,-5018.199999998365
9,naive,2,1.5,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.479436,-0.09253359999999998,0.48673481888842,-0.07973991442404113,-5018.199999998365
10,naive,2,1.5,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.47964799999999996,-0.09150419999999997,0.4877006221157381,-0.07705432055069268,-4861.600000006513
11,naive,2,1.5,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.47964799999999996,-0.09150419999999997,0.4877006221157381,-0.07705432055069268,-4861.600000006513
12,naive,4,0.5,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.479376,-0.09325080000000002,0.4920265790485922,-0.0709236601099924,-4940.000000006535
13,naive,4,0.5,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.479376,-0.09325080000000002,0.4920265790485922,-0.0709236601099924,-4940.000000006535
14,naive,4,0.5,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.479705,-0.09193960000000004,0.4931389340242706,-0.06798120416319002,-4888.8000000064785
15,naive,4,0.5,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.479705,-0.09193960000000004,0.4931389340242706,-0.06798120416319002,-4888.8000000064785
16,naive,4,1.0,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.47970100000000004,-0.0923972,0.4907508768447853,-0.0729175130169973,-4809.400000006538
17,naive,4,1.0,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.47970100000000004,-0.0923972,0.4907508768447853,-0.0729175130169973,-4809.400000006538
18,naive,4,1.0,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.480084,-0.09122679999999997,0.4909810018768931,-0.07158086436194923,-4907.200000006539
19,naive,4,1.0,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.480084,-0.09122679999999997,0.4909810018768931,-0.07158086436194923,-4907.200000006539
20,naive,4,1.5,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.47989,-0.09231259999999998,0.4894501441626848,-0.07501961223803655,-4936.000000006301
21,naive,4,1.5,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.47989,-0.09231259999999998,0.4894501441626848,-0.07501961223803655,-4936.000000006301
